OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LOGRECNO,total_requests,median_response_hours,mean_response_hours,median_resolution_days,mean_resolution_days,closed_requests,resolution_rate
1,42,101,009400,42101009400,94,Census Tract 94,G5020,S,366717,0,+39.9632709,-075.2322437,10429,1336,1471.0,2554.1077844311376,39.0,84.25349794238683,1215,90.94311377245509
2,42,101,009500,42101009500,95,Census Tract 95,G5020,S,319070,0,+39.9658709,-075.2379140,10430,1303,1492.0,2825.2716807367615,60.0,91.52805280528052,1212,93.01611665387567
3,42,101,009600,42101009600,96,Census Tract 96,G5020,S,405273,0,+39.9655396,-075.2435075,10431,1629,1481.0,2705.7612031921426,49.0,88.08943089430895,1476,90.60773480662984
4,42,101,013800,42101013800,138,Census Tract 138,G5020,S,341256,0,+39.9764504,-075.1771771,10468,1358,1361.0,3079.343888070692,30.0,103.52664092664092,1295,95.36082474226805
5,42,101,013900,42101013900,139,Census Tract 139,G5020,S,562934,0,+39.9750563,-075.1711846,10469,951,747.0,2569.9537329127234,14.0,80.9803707742639,917,96.4248159831756
6,42,101,014000,42101014000,140,Census Tract 140,G5020,S,439802,0,+39.9735358,-075.1630966,10470,1878,764.0,2062.9110756123537,15.0,65.28795518207284,1785,95.0479233226837
7,42,101,014100,42101014100,141,Census Tract 141,G5020,S,562132,0,+39.9708771,-075.1524555,10471,1153,433.0,2213.634865568083,8.0,62.15135135135135,1110,96.27059843885516
8,42,101,014200,42101014200,142,Census Tract 142,G5020,S,789935,277434,+39.9652375,-075.1359612,10472,2929,380.0,1884.4185728917719,6.0,51.82106375484325,2839,96.92727893479002
9,42,101,014300,42101014300,143,Census Tract 143,G5020,S,570015,282808,+39.9671225,-075.1265617,10473,1727,214.0,1951.404748118124,5.0,56.53236539624925,1653,95.71511291256513
10,42,101,014400,42101014400,144,Census Tract 144,G5020,S,609439,0,+39.9722286,-075.1400952,10474,3235,386.0,1987.7397217928904,7.0,62.64912280701754,3078,95.14683153013911
11,42,101,014500,42101014500,145,Census Tract 145,G5020,S,321464,0,+39.9760715,-075.1484189,10475,777,466.0,1910.045045045045,11.0,61.304,750,96.52509652509652
12,42,101,014600,42101014600,146,Census Tract 146,G5020,S,445048,0,+39.9764305,-075.1546990,10476,467,596.0,2705.576017130621,9.0,83.38181818181818,440,94.21841541755889
13,42,101,014700,42101014700,147,Census Tract 147,G5020,S,337677,0,+39.9785489,-075.1620244,10477,967,1167.0,2278.53050672182,21.0,70.79540481400437,914,94.51913133402276
14,42,101,014800,42101014800,148,Census Tract 148,G5020,S,191126,0,+39.9802047,-075.1691610,10478,370,1056.5,2788.1135135135137,22.0,83.73590504451039,337,91.08108108108108
15,42,101,014900,42101014900,149,Census Tract 149,G5020,S,453221,0,+39.9816503,-075.1804029,10479,2261,1291.0,3164.2131800088455,22.0,104.82983682983684,2145,94.86952675807166
16,42,101,015200,42101015200,152,Census Tract 152,G5020,S,669101,0,+39.9854546,-075.1700491,10482,1598,1295.0,2827.4198998748434,30.0,93.50994694960212,1508,94.36795994993741
17,42,101,015300,42101015300,153,Census Tract 153,G5020,S,469136,0,+39.9837644,-075.1608849,10483,1401,977.0,2117.753033547466,18.0,64.7046317388003,1317,94.00428265524626
